,Bubble Sort,Selection Sort,Insertion Sort,Shell Sort,Quick Sort,Merge Sort,Bucket Sort,Counting Sort,Heap Sort,Radix Sort
1k,0.18624567985534668,0.10602752367655437,0.09994419415791829,0.021164655685424805,0.0076838334401448565,0.006998856862386067,0.011119206746419271,0.0006702740987141927,0.012641986211140951,0.002028306325276693
10k,18.715084075927734,9.429282983144125,10.19177802403768,0.08876307805379231,0.04590455691019694,0.0937482515970866,0.27530654271443683,0.0056811173756917315,0.2721863587697347,0.020023425420125324
20k,77.14963523546855,37.66838630040487,41.07524792353312,0.20212801297505698,0.0839398701985677,0.17156235376993814,0.7848083178202311,0.010616938273111979,0.7311036586761475,0.04929653803507487
30k,170.54432209332785,85.99974473317464,92.15073855717976,0.3130022684733073,0.12225675582885742,0.2641561031341553,1.472626527150472,0.017228126525878906,1.1897011597951253,0.06193645795186361
40k,301.0206826527913,146.30523578325906,162.88565834363303,0.4537923336029053,0.20444655418395996,0.363977591196696,4.165011803309123,0.025398969650268555,3.4048074086507163,0.0848844846089681
50k,482.13058654467267,230.07689396540323,255.24831223487854,0.54966139793396,0.1977367401123047,0.45922478040059406,13.322295904159546,0.029460032780965168,11.463107426961264,0.1103355884552002
